,Artikal,Datum,Tip dok.,Unnamed: 3,Broj dok.,Poslovni partner,Adresa,Poštanski broj,Unnamed: 8,Mjesto,Unnamed: 10,Količina,Iznos prije rabata,Regija,Unnamed: 12,Partner šifra,Unnamed: 9,Unnamed: 11,Unnamed: 13,Unnamed: 7,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 6
62,Dorzol 20mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15462.0,LUPRIV PLUS Mostar ogr.3,Splitska 5,88000.0,,MOSTAR,,2.0,20.44,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
63,Dorzol 20mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15510.0,"Ljekarna ""Lilium"" mr.ph. Alma Manov Prozor",Vitomira Lukića bb,88440.0,,PROZOR-RAMA,,2.0,20.44,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
64,Dorzol 20mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15491.0,Zdravstvena ustanova ''RADIŠIĆ'' Čitluk,Broćanski Trg bb,88260.0,,ČITLUK,,5.0,51.1,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
65,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15478.0,LUPRIV PLUS Mostar ogr.Prozor-Rama,Kralja Tomislava bb.,88440.0,,PROZOR-RAMA,,5.0,61.85,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
66,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15464.0,LUPRIV PLUS Mostar ogr.2,Kardinala Stepinca 17,88000.0,,MOSTAR,,5.0,61.85,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
67,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15510.0,"Ljekarna ""Lilium"" mr.ph. Alma Manov Prozor",Vitomira Lukića bb,88440.0,,PROZOR-RAMA,,5.0,61.85,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
68,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15485.0,Ljekarnička ZU ''CVIT LIKARIJE'' Podružnica Internacionalna ljekarna Međugorje,Kardinala Stepinca 37a,88266.0,,MEĐUGORJE /ČITLUK/,,3.0,37.11,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
69,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15491.0,Zdravstvena ustanova ''RADIŠIĆ'' Čitluk,Broćanski Trg bb,88260.0,,ČITLUK,,5.0,61.85,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
70,"Latanox kapi za oči 1x2,5ml",6. 10. 2022.,OTP,,15476.0,LUPRIV PLUS Mostar ogr.5,Stjepana Radića 37,88000.0,,MOSTAR,,4.0,37.76,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
71,"Latanox kapi za oči 1x2,5ml",6. 10. 2022.,OTP,,15491.0,Zdravstvena ustanova ''RADIŠIĆ'' Čitluk,Broćanski Trg bb,88260.0,,ČITLUK,,2.0,18.88,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
72,Moksacin 5mg/ml kapi za oko 5ml,6. 10. 2022.,OTP,,15484.0,"Ljekarna ""Mr.ph.NINA KEŠELJ"" Mostar",Bleiburških žrtava bb,88000.0,,MOSTAR,,3.0,28.65,07 - Hercegovačko-Neretvanski kanton,,,,,,,,,,
75,Dorzol 20mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15289.0,Z.U. LJEKARNE ČOLAK Široki Brijeg-ogr.1,dr.Jure Grubišića 9,88220.0,,ŠIROKI BRIJEG,,1.0,10.22,08 - Zapadnohercegovački kanton,,,,,,,,,,
76,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15289.0,Z.U. LJEKARNE ČOLAK Široki Brijeg-ogr.1,dr.Jure Grubišića 9,88220.0,,ŠIROKI BRIJEG,,3.0,34.56,08 - Zapadnohercegovački kanton,,,,,,,,,,
77,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15492.0,"Ljekarnička ustanova ""Marija"" Široki Brijeg",Fra Didaka Buntića bb,88220.0,,ŠIROKI BRIJEG,,4.0,49.48,08 - Zapadnohercegovački kanton,,,,,,,,,,
78,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15487.0,Ljekarnička ZU ''CVIT LIKARIJE'' Ljubuški,Fra Petra Bakule 3,88320.0,,LJUBUŠKI,,5.0,61.85,08 - Zapadnohercegovački kanton,,,,,,,,,,
79,"Latanox kapi za oči 1x2,5ml",6. 10. 2022.,OTP,,15487.0,Ljekarnička ZU ''CVIT LIKARIJE'' Ljubuški,Fra Petra Bakule 3,88320.0,,LJUBUŠKI,,10.0,84.2,08 - Zapadnohercegovački kanton,,,,,,,,,,
80,"Latanox kapi za oči 1x2,5ml",6. 10. 2022.,OTP,,15468.0,"Ljekarničko zdravstvena ustanova ""Crnogorac""",Stjepana Radića 28,88240.0,,POSUŠJE,,7.0,58.94,08 - Zapadnohercegovački kanton,,,,,,,,,,
81,Moksacin 5mg/ml kapi za oko 5ml,6. 10. 2022.,OTP,,15487.0,Ljekarnička ZU ''CVIT LIKARIJE'' Ljubuški,Fra Petra Bakule 3,88320.0,,LJUBUŠKI,,2.0,19.1,08 - Zapadnohercegovački kanton,,,,,,,,,,
84,Dorzol 20mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15477.0,Dina - PZU-apoteka Sarajevo,Bulevar Meše Selimovića b.b.,71000.0,,SARAJEVO,,30.0,306.6,09 - Sarajevski Kanton,,,,,,,,,,
85,Dorzol 20mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15474.0,PZU Apoteka GRAL Sarajevo-Ogranak  Apoteka DOBRINJA V,Sulejmana Filipovića 15,71000.0,,SARAJEVO,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
86,Dorzol 20mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15457.0,PZU Apoteka FAMILY Plus OGRANAK br.2 Sarajevo,Kalesijska 1,71000.0,,SARAJEVO,,3.0,30.66,09 - Sarajevski Kanton,,,,,,,,,,
87,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15539.0,"PZU ""AL-HANA""",Patke br.2,71000.0,,SARAJEVO,,20.0,204.4,09 - Sarajevski Kanton,,,,,,,,,,
88,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15527.0,LUPRIV PLUS Mostar ogr.SARAJEVO 4,Adema Buće 206,71000.0,,SARAJEVO,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
89,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15525.0,Apoteka SAN-DI,"Stara cesta do br.7, Semizovac",71321.0,,SEMIZOVAC,,5.0,51.1,09 - Sarajevski Kanton,,,,,,,,,,
90,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15548.0,"Privatna apoteka ""UNAPHARM""",Binježevo 53,71240.0,,HADŽIĆI,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
91,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15542.0,Privatna apoteka GALENPHARM  Sarajevo,Grbavička 2b,71000.0,,SARAJEVO,,5.0,51.1,09 - Sarajevski Kanton,,,,,,,,,,
92,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15520.0,Apoteka TARA Sarajevo,Azize Šaćirbegović 80A,71000.0,,SARAJEVO,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
93,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15524.0,"PZU Apoteka ""IBO & CO"" Sarajevo-ogranak 1",Patriotske lige 35,71000.0,,SARAJEVO,,20.0,204.4,09 - Sarajevski Kanton,,,,,,,,,,
94,Dorzol 20mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15509.0,MEDISAN Privatna apoteka Sarajevo,Jukićeva do broja 2,71000.0,,SARAJEVO,,5.0,51.1,09 - Sarajevski Kanton,,,,,,,,,,
95,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15549.0,Dina - PZU-apoteka Sarajevo ogr.ap. DINA 1 Hadžići,Hadželi bb (PC Zujevina),71240.0,,HADŽIĆI,,20.0,204.4,09 - Sarajevski Kanton,,,,,,,,,,
96,Dorzol 20mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15483.0,"PZU ""AP"" Apoteke Sarajevo ogranak Apoteka ""ALTEA""",Koševo 32,71000.0,,SARAJEVO,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
97,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15521.0,LUPRIV PHARM Mostar ogr.SARAJEVO 20,Trg Solidarnosti 35,71000.0,,SARAJEVO,,7.0,71.54,09 - Sarajevski Kanton,,,,,,,,,,
98,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15516.0,B-PHARM- OGR. br.17 ap. MARKALE Sarajevo,Mustafe Bašeskije br.12,71000.0,,SARAJEVO,,7.0,71.54,09 - Sarajevski Kanton,,,,,,,,,,
99,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15515.0,B-PHARM- OGR. br.19 ap.BBI Centar Sarajevo,Trg djece Sarajeva br.1,71000.0,,SARAJEVO,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
100,Dorzol 20mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15456.0,"PZU ""AL-HANA"" 3 privatna apoteka",Mustafe Pintola 7 Ilidža,71000.0,,SARAJEVO,,20.0,204.4,09 - Sarajevski Kanton,,,,,,,,,,
101,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15380.0,PZU Apoteka FAMILY Sarajevo,Kemala Kapetanovića bb,71000.0,,SARAJEVO,,15.0,153.3,09 - Sarajevski Kanton,,,,,,,,,,
102,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15377.0,"Privatna apoteka ""Al-Tawil"" Sarajevo",Hamdije Kapidžića 3 i 4,71000.0,,SARAJEVO,,20.0,204.4,09 - Sarajevski Kanton,,,,,,,,,,
103,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15371.0,LUPRIV PHARM Mostar ogr.Lupriv Pharm 22,Ul. Muhameda ef. Pandže bb.,71000.0,,SARAJEVO,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
104,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15400.0,"""APOTEKA AL-HANA BOJNIK"" d.o.o.",Butilska cesta 2,71000.0,,SARAJEVO,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
105,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15387.0,"Z.U. Apoteka ""Remedia"" - ogranak ""Remedia 3"" Sarajevo",Jovana Bijelića 1,71000.0,,SARAJEVO,,6.0,61.32,09 - Sarajevski Kanton,,,,,,,,,,
106,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15381.0,"PZU Apoteka ""IBO & CO"" Sarajevo-ogranak 1",Patriotske lige 35,71000.0,,SARAJEVO,,5.0,51.1,09 - Sarajevski Kanton,,,,,,,,,,
107,Dorzol 20mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15298.0,Dina - PZU-apoteka Sarajevo ogr.ap. DINA 2 Hrasnica,Stari drum bb,71212.0,,HRASNICA,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
108,Dorzol 20mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15319.0,Privatna apoteka ''Oaza zdravlja'' Sarajevo- Podlugovi,Moševićka br.101,71387.0,,PODLUGOVI /ILIJAŠ/,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
109,Dorzol 20mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15321.0,Privatna apoteka ''Oaza zdravlja'' Sarajevo- Alipašin most,Safeta Zajke do br.59,71000.0,,SARAJEVO,,60.0,613.2,09 - Sarajevski Kanton,,,,,,,,,,
110,Dorzol 20mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15324.0,"Privatna apoteka ""PharmPlus"" Sarajevo",Posavska 2,71000.0,,SARAJEVO,,1.0,10.22,09 - Sarajevski Kanton,,,,,,,,,,
111,Dorzol 20mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15337.0,PZU Apoteka PHARMAMED Vitez-ogranak apoteke Sarajevo,Baščaršija 28,71000.0,,SARAJEVO,,25.0,255.5,09 - Sarajevski Kanton,,,,,,,,,,
112,Dorzol 20mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15308.0,"PZU Apoteka Avicena Visoko-Ogranak ""Stup""",Stupska bb,71000.0,,SARAJEVO,,5.0,51.1,09 - Sarajevski Kanton,,,,,,,,,,
113,Dorzol 20mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15334.0,Dina - PZU-apoteka Sarajevo ogr.ap. DINA 1 Hadžići,Hadželi bb (PC Zujevina),71240.0,,HADŽIĆI,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
114,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15418.0,J.U. Apoteke SA Nabavno-dist. služba,Bistrik Medresa 2,71000.0,,SARAJEVO,,5.0,51.1,09 - Sarajevski Kanton,,,,,,,,,,
115,Dorzol 20mg/ml kapi za oči 5ml,3. 10. 2022.,OTP,,15216.0,LUPRIV PLUS Mostar ogr.ILIDŽA-HRASNICA,Igmanskih bataljona 3-5,71212.0,,HRASNICA,,5.0,51.1,09 - Sarajevski Kanton,,,,,,,,,,
116,Dorzol 20mg/ml kapi za oči 5ml,3. 10. 2022.,OTP,,15219.0,PZU ''AL-HANA'' Goražde ogr.ap.AL-HANA SOKOLOVIĆ KOLONIJA,Trg 22.Aprila 20 Sokolović K.,71210.0,,ILIDŽA,,15.0,153.3,09 - Sarajevski Kanton,,,,,,,,,,
117,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15436.0,"PZU ""AL-HANA Dija-San""",ul. Envera Šehovića br.56,71120.0,,NOVO SARAJEVO,,20.0,204.4,09 - Sarajevski Kanton,,,,,,,,,,
118,Dorzol 20mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15454.0,LUPRIV PHARM Mostar ogr.SARAJEVO 3,Trg Nezavisnosti 14,71000.0,,SARAJEVO,,20.0,204.4,09 - Sarajevski Kanton,,,,,,,,,,
119,Dorzol 20mg/ml kapi za oči 5ml,3. 10. 2022.,OTP,,15208.0,PZU Apoteka Ibo&Co Sarajevo,Teheranski trg 7,71000.0,,SARAJEVO,,10.0,102.2,09 - Sarajevski Kanton,,,,,,,,,,
120,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15417.0,J.U. Apoteke SA Nabavno-dist. služba,Bistrik Medresa 2,71000.0,,SARAJEVO,,795.0,8124.9,09 - Sarajevski Kanton,,,,,,,,,,
121,Dorzol 20mg/ml kapi za oči 5ml,3. 10. 2022.,OTP,,15236.0,"Privatna apoteka ""Pharma Viva"" Vogošća-Kobilja Glava",Kenana Brkanića 11,71000.0,,SARAJEVO,,1.0,10.22,09 - Sarajevski Kanton,,,,,,,,,,
122,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15457.0,PZU Apoteka FAMILY Plus OGRANAK br.2 Sarajevo,Kalesijska 1,71000.0,,SARAJEVO,,2.0,23.04,09 - Sarajevski Kanton,,,,,,,,,,
123,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15548.0,"Privatna apoteka ""UNAPHARM""",Binježevo 53,71240.0,,HADŽIĆI,,3.0,34.56,09 - Sarajevski Kanton,,,,,,,,,,
124,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15524.0,"PZU Apoteka ""IBO & CO"" Sarajevo-ogranak 1",Patriotske lige 35,71000.0,,SARAJEVO,,3.0,37.11,09 - Sarajevski Kanton,,,,,,,,,,
125,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15531.0,"PZU Apoteka ""VITAPHARM""",Barska br.40-42,71210.0,,ILIDŽA,,5.0,57.6,09 - Sarajevski Kanton,,,,,,,,,,
126,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15516.0,B-PHARM- OGR. br.17 ap. MARKALE Sarajevo,Mustafe Bašeskije br.12,71000.0,,SARAJEVO,,3.0,34.56,09 - Sarajevski Kanton,,,,,,,,,,
127,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15542.0,Privatna apoteka GALENPHARM  Sarajevo,Grbavička 2b,71000.0,,SARAJEVO,,5.0,61.85,09 - Sarajevski Kanton,,,,,,,,,,
128,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15515.0,B-PHARM- OGR. br.19 ap.BBI Centar Sarajevo,Trg djece Sarajeva br.1,71000.0,,SARAJEVO,,3.0,34.56,09 - Sarajevski Kanton,,,,,,,,,,
129,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15387.0,"Z.U. Apoteka ""Remedia"" - ogranak ""Remedia 3"" Sarajevo",Jovana Bijelića 1,71000.0,,SARAJEVO,,2.0,23.04,09 - Sarajevski Kanton,,,,,,,,,,
130,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15377.0,"Privatna apoteka ""Al-Tawil"" Sarajevo",Hamdije Kapidžića 3 i 4,71000.0,,SARAJEVO,,2.0,23.04,09 - Sarajevski Kanton,,,,,,,,,,
131,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15436.0,"PZU ""AL-HANA Dija-San""",ul. Envera Šehovića br.56,71120.0,,NOVO SARAJEVO,,3.0,34.56,09 - Sarajevski Kanton,,,,,,,,,,
132,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15417.0,J.U. Apoteke SA Nabavno-dist. služba,Bistrik Medresa 2,71000.0,,SARAJEVO,,28.0,322.56,09 - Sarajevski Kanton,,,,,,,,,,
133,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15418.0,J.U. Apoteke SA Nabavno-dist. služba,Bistrik Medresa 2,71000.0,,SARAJEVO,,5.0,57.6,09 - Sarajevski Kanton,,,,,,,,,,
134,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15334.0,Dina - PZU-apoteka Sarajevo ogr.ap. DINA 1 Hadžići,Hadželi bb (PC Zujevina),71240.0,,HADŽIĆI,,10.0,115.2,09 - Sarajevski Kanton,,,,,,,,,,
135,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15330.0,Delfin-2 PZU apoteka Sarajevo,Trg heroja 3,71000.0,,SARAJEVO,,10.0,115.2,09 - Sarajevski Kanton,,,,,,,,,,
136,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15337.0,PZU Apoteka PHARMAMED Vitez-ogranak apoteke Sarajevo,Baščaršija 28,71000.0,,SARAJEVO,,5.0,57.6,09 - Sarajevski Kanton,,,,,,,,,,
139,Dorzol 20mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15285.0,"PP Apoteka ""HIGIJA""",B.Nušića 28,76000.0,,BRČKO,,5.0,51.1,11 - Brčko Distrikt,,,,,,,,,,
142,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15530.0,"Z.U.""Moja Apoteka"" Banja Luka-PJ ZVIJEZDA",Cara Lazara 28,78000.0,,BANJA LUKA,,10.0,102.2,12 - RS,,,,,,,,,,
143,Dorzol 20mg/ml kapi za oči 5ml,3. 10. 2022.,OTP,,15222.0,"ZU- Apoteka ""EXPERA PHARMACY"" PJ. Apoteka br.44",ul.Miloša Crnjanjskog bb,76300.0,,BIJELJINA,,20.0,204.4,12 - RS,,,,,,,,,,
144,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15440.0,"ZU.- Apoteka ""EXPERA PHARMACY""PJ. Apoteka br.48",ul.Cara Lazara br.10 Modriča,74480.0,,MODRIČA,,5.0,51.1,12 - RS,,,,,,,,,,
145,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15543.0,"Z.U. Apoteka ""Galen"" Trebinje",Trebinjskih brigada bb,89000.0,,TREBINJE,,10.0,102.2,12 - RS,,,,,,,,,,
146,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15437.0,"Z.U.""Moja Apoteka"" Banja Luka-PJ Apoteka Janja 2",Kralja Petra Karađorđevića 91,76316.0,,JANJA,,8.0,81.76,12 - RS,,,,,,,,,,
147,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15430.0,"ZU ""Apoteke PROFARM"" Gradiška",Ulica Zaharija Orfelina br.5 GRADIŠKA,78400.0,,BOSANSKA GRADIŠKA/GRADIŠKA,,40.0,408.8,12 - RS,,,,,,,,,,
148,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15438.0,"Z.U.""Moja Apoteka"" Banja Luka-PJ. ""TESLIĆ""",Ul. Marka Pejića bb,74270.0,,TESLIĆ,,30.0,306.6,12 - RS,,,,,,,,,,
149,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15519.0,"ZU- Apoteka ""EXPERA PHARMACY"" PJ. Apoteka br.34",Ul. Trg Kralja Petra I Karađorđevića bb,70260.0,,MRKONJIĆ GRAD,,15.0,153.3,12 - RS,,,,,,,,,,
150,Dorzol 20mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15290.0,"ZU- Apoteka ""EXPERA PHARMACY"" PJ. Apoteka br.40",Kralja Petra 1,78240.0,,ČELINAC,,5.0,51.1,12 - RS,,,,,,,,,,
151,Dorzol 20mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15517.0,"Z.U.""Moja Apoteka"" Banja Luka-PJ Petričevac 2",Branislava Nušića 19,78000.0,,BANJA LUKA,,40.0,408.8,12 - RS,,,,,,,,,,
152,Dorzol 20mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15501.0,"Z.U.""Moja Apoteka"" Banja Luka-PJ Apoteka ""22 April""",Ul. Ilije Garašanina 4,78000.0,,BANJA LUKA,,35.0,357.7,12 - RS,,,,,,,,,,
153,Dorzol 20mg/ml kapi za oči 5ml,3. 10. 2022.,OTP,,15228.0,"ZU ""Crvena apoteka""PJ.C29 Gradiška","Esada Pračića br.33, Gradiška",78400.0,,BOSANSKA GRADIŠKA/GRADIŠKA,,20.0,204.4,12 - RS,,,,,,,,,,
154,Dorzol 20mg/ml kapi za oči 5ml,5. 10. 2022.,OTP,,15402.0,"Z.U.""Moja Apoteka"" Banja Luka-PJ. Doboj",Ul-Nemanjina 18,74000.0,,DOBOJ,,20.0,204.4,12 - RS,,,,,,,,,,
155,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,6. 10. 2022.,OTP,,15501.0,"Z.U.""Moja Apoteka"" Banja Luka-PJ Apoteka ""22 April""",Ul. Ilije Garašanina 4,78000.0,,BANJA LUKA,,1.0,12.37,12 - RS,,,,,,,,,,
156,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,3. 10. 2022.,OTP,,15222.0,"ZU- Apoteka ""EXPERA PHARMACY"" PJ. Apoteka br.44",ul.Miloša Crnjanjskog bb,76300.0,,BIJELJINA,,10.0,123.7,12 - RS,,,,,,,,,,
157,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15530.0,"Z.U.""Moja Apoteka"" Banja Luka-PJ ZVIJEZDA",Cara Lazara 28,78000.0,,BANJA LUKA,,10.0,123.7,12 - RS,,,,,,,,,,
158,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,7. 10. 2022.,OTP,,15519.0,"ZU- Apoteka ""EXPERA PHARMACY"" PJ. Apoteka br.34",Ul. Trg Kralja Petra I Karađorđevića bb,70260.0,,MRKONJIĆ GRAD,,2.0,24.74,12 - RS,,,,,,,,,,
159,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,4. 10. 2022.,OTP,,15283.0,J.Z.U. Gradska apoteka Prijedor,Kralja Petra Oslobodioca 25,79000.0,,PRIJEDOR,,20.0,247.4,12 - RS,,,,,,,,,,
1,Dorzol 20mg/ml kapi za oči 5ml,14. 10. 2022.,OTP,,15935.0,B-PHARM- OGR. Depo br1 Bosanski Petrovac,"V Korpusa bb u objekt TC""Bingo"" bb",77250.0,,BOSANSKI PETROVAC,,5.0,51.1,01 - Unsko-Sanski kanton,,,,,,,,,,
2,Dorzol 20mg/ml kapi za oči 5ml,13. 10. 2022.,OTP,,15898.0,B-PHARM 1 Bihać,Harmanski sokak 31.,77000.0,,BIHAĆ,,15.0,153.3,01 - Unsko-Sanski kanton,,,,,,,,,,
3,Dorzol 20mg/ml kapi za oči 5ml,14. 10. 2022.,OTP,,15934.0,B-PHARM Bihać- OGR. br.4 Ostrožac-Cazin,Ostrožac bb,77220.0,,CAZIN,,10.0,102.2,01 - Unsko-Sanski kanton,,,,,,,,,,
4,Dorzol 20mg/ml kapi za oči 5ml,13. 10. 2022.,OTP,,15897.0,B-PHARM- OGR. br.7 Velika Kladuša,"Prve muslimanske brigade-Polje, bb",77230.0,,VELIKA KLADUŠA,,15.0,153.3,01 - Unsko-Sanski kanton,,,,,,,,,,
5,Dorzol 20mg/ml kapi za oči 5ml,12. 10. 2022.,OTP,,15823.0,Don-privatna apoteka  Sanski most,Prijedorska 92a,79260.0,,SANSKI MOST,,10.0,102.2,01 - Unsko-Sanski kanton,,,,,,,,,,
6,Dorzol 20mg/ml kapi za oči 5ml,14. 10. 2022.,OTP,,15933.0,B-PHARM Bihać- OGR. br.2 Bužim,Izeta Nanića bb,77245.0,,BUŽIM,,10.0,102.2,01 - Unsko-Sanski kanton,,,,,,,,,,
7,Dorzol 20mg/ml kapi za oči 5ml,14. 10. 2022.,OTP,,15940.0,B-PHARM 1 Bihać,Harmanski sokak 31.,77000.0,,BIHAĆ,,3.0,30.66,01 - Unsko-Sanski kanton,,,,,,,,,,
8,Dorzol 20mg/ml kapi za oči 5ml,14. 10. 2022.,OTP,,15936.0,B-PHARM Bihać- OGR. br.11 Velika Kladuša,Zuhdije Žalića 6,77230.0,,VELIKA KLADUŠA,,5.0,51.1,01 - Unsko-Sanski kanton,,,,,,,,,,
9,Dorzol 20mg/ml kapi za oči 5ml,12. 10. 2022.,OTP,,15838.0,PZU Apoteka ''EUROFARMACIJA DŽ&N'' Cazin,Trg Zlatnih Ljiljana bb,77220.0,,CAZIN,,5.0,51.1,01 - Unsko-Sanski kanton,,,,,,,,,,
10,Glaumax 20mg/ml+5mg/ml kapi za oči 5ml,14. 10. 2022.,OTP,,15933.0,B-PHARM Bihać- OGR. br.2 Bužim,Izeta Nanića bb,77245.0,,BUŽIM,,10.0,123.7,01 - Unsko-Sanski kanton,,,,,,,,,,
